Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
55,2008/9/10,Female,Product,Yes,3,5,6.1,0.39
56,2008/5/26,Female,Product,Yes,2,4,3.1,0.15
57,2008/12/22,Male,Service,No,2,5,8,0.61
58,2008/4/8,Female,Product,No,1,2,4,0.26
59,2008/12/22,Female,Service,No,2,2,3.6,0.28
60,2008/2/25,Male,Product,Yes,2,5,8.7,0.71
61,2008/4/24,Male,Product,No,3,,8,0.68
62,2008/1/8,Female,Service,No,3,5,6.8,0.57
63,2008/11/20,Female,Service,Yes,2,3,4.9,0.39
64,2008/9/11,Female,Product,No,3,6,7.9,0.61
65,2008/6/11,Male,Product,No,3,6,7.6,0.62
66,2008/2/28,Female,Service,No,5,9,9.2,0.8
67,2008/5/3,Male,Service,Yes,4,6,6.5,0.63
68,2008/8/20,Female,Service,No,3,5,6.8,0.6
69,2008/10/18,Female,Product,No,4,8,8.7,0.79
70,2008/8/14,Male,Service,Yes,2,5,6.2,0.39
71,2008/1/8,Female,Service,No,3,5,5.8,0.36
72,2008/7/17,Female,Product,No,2,4,6.6,0.5
73,2008/9/11,Male,Product,No,4,7,8.2,0.72
74,2008/7/5,Female,Service,Yes,2,3,4.9,0.34
75,2008/2/4,Female,Service,No,1,2,4.1,0.27
76,2008/8/1,Male,Service,No,3,7,7.4,0.66
77,2008/5/1,Female,Product,Yes,0,1,,0.04
78,2008/5/21,Male,Service,Yes,1,2,4.4,0.27
79,2008/11/26,Female,Service,No,2,6,6.9,0.67
80,2008/10/21,Female,Product,Yes,1,2,5.3,0.38
81,2008/3/19,Female,Service,Yes,2,2,4.3,0.28
82,2008/9/27,Male,Product,Yes,0,1,0.8,0.05
83,2008/3/28,Female,Service,Yes,2,4,2.9,0.22
84,2008/3/12,Female,Service,Yes,1,3,5,0.39
85,2008/5/20,Male,Service,Yes,1,4,6.9,0.52
86,2008/9/17,Female,Service,No,3,5,4.7,0.39
87,2008/2/13,Female,Service,No,1,3,2,0.11
88,2008/9/19,Female,Service,No,2,4,5.4,0.44
89,2008/7/3,Male,Product,No,2,5,6.1,0.5
90,2008/10/27,Female,Product,Yes,1,4,5.1,0.41
91,2008/8/9,Female,Service,Yes,1,2,3.8,
92,2008/1/22,Male,Product,No,4,9,,0.76
93,2008/4/15,Female,Service,Yes,3,5,4.7,0.43
94,2008/10/26,Male,Service,Yes,3,5,5.4,0.46
95,2008/1/31,Female,Service,No,4,7,9.1,0.85
96,2008/1/3,Male,Service,Yes,1,3,5,0.35
97,2008/3/13,Male,Product,No,1,1,0,0
98,2008/3/27,Male,Product,Yes,2,4,4.3,0.34
99,2008/8/20,Female,Service,Yes,2,,6.7,0.44
100,2008/10/11,Female,Product,No,2,5,5.7,0.55
101,2008/11/15,Male,Service,Yes,4,6,6.8,0.62
102,2008/8/17,Male,Service,No,3,6,7.6,0.72
103,2008/11/30,Male,Product,Yes,3,8,8.3,0.71
104,2008/8/8,Female,Product,No,1,3,5.5,0.39
105,2008/6/28,Female,Service,No,1,3,5.3,0.48
106,2008/5/6,Female,Service,No,3,7,8,0.7
107,2008/12/17,Male,Service,Yes,4,6,6.4,0.56
108,2008/9/8,Female,Service,Yes,1,3,3.6,0.27
109,2008/7/4,Female,Product,Yes,2,5,7,0.66
110,2008/10/28,Female,Product,No,3,7,7.6,0.56
111,2008/5/6,Male,Service,No,2,5,8.7,0.79
112,2008/2/19,Female,Product,Yes,0,1,2.6,0.18
113,2008/4/8,Female,Service,Yes,2,4,4.7,0.33
114,2008/2/11,Male,Service,Yes,2,4,6.4,0.4
115,2008/3/2,Female,Service,No,2,5,5.8,0.39
116,2008/8/10,Female,Service,No,1,1,3.3,0.23
117,2008/1/4,Female,Product,Yes,2,4,5.9,0.45
118,2008/10/12,Female,Product,No,2,,7.8,0.67
119,2008/11/14,Male,Product,Yes,1,3,7,0.52
120,2008/9/2,Female,Service,No,4,7,7.2,0.6
121,2008/10/4,Male,Service,Yes,3,7,7.9,0.59
122,2008/5/31,Female,Product,No,3,5,,
123,2008/9/16,Female,Service,Yes,1,3,5.9,0.36
124,2008/3/3,Male,Service,No,1,3,4.4,0.29
125,2008/2/21,Male,Service,Yes,2,5,5.2,0.34
126,2008/3/26,Female,Product,Yes,2,4,5.3,0.34
127,2008/2/3,Male,Service,No,3,5,,
128,2008/12/4,Female,Service,No,4,6,,0.67
129,2008/9/5,Female,Product,Yes,4,,8.9,0.76
130,2008/9/17,Female,Product,Yes,3,4,5.2,0.46
131,2008/2/24,Male,Service,Yes,2,5,4.5,0.36
132,2008/12/9,Female,Product,No,2,3,6.6,0.45
133,2008/1/19,Female,Product,Yes,3,5,3.8,0.27
134,2008/1/26,Male,Product,No,3,7,7.6,0.65
135,2008/5/10,Female,Service,Yes,1,4,,
136,2008/5/16,Female,Product,Yes,3,6,5.6,0.34
137,2008/8/10,Female,Service,Yes,1,3,5.4,0.37
138,2008/6/28,Male,Product,Yes,1,2,4.9,0.25
139,2008/5/7,Male,Service,No,2,5,7.3,0.57
140,2008/5/3,Male,Service,No,2,5,5.6,0.52
141,2008/9/16,Female,Product,Yes,3,4,5.7,
142,2008/10/16,Female,Product,No,4,8,7.8,0.75
143,2008/7/9,Female,Product,Yes,4,7,6.7,0.55
144,2008/3/11,Female,Service,No,1,4,6.5,0.43
145,2008/8/15,Female,Service,Yes,0,1,1.8,0.1
146,2008/8/25,Female,Product,No,3,6,8.1,0.68
147,2008/12/14,Male,Product,No,2,5,6.9,
148,2008/4/26,Male,Service,Yes,3,7,6.4,0.56
149,2008/1/26,Male,Service,Yes,3,8,7.2,0.73
150,2008/9/5,Female,Service,No,2,5,8.6,0.7
151,2008/4/3,Male,Service,No,2,5,,0.58
152,2008/12/19,Male,Product,No,4,8,9.5,0.88
153,2008/8/13,Male,Product,Yes,2,6,6.8,0.63
154,2008/3/8,Female,Service,No,2,5,6.5,0.62
155,2008/9/14,Female,Service,Yes,2,3,3.5,0.25
156,2008/4/24,Male,Service,No,2,3,4.8,0.4
157,2008/2/5,Male,Product,No,3,8,7.6,0.77
158,2008/2/17,Male,Product,Yes,3,6,6.2,0.58
159,2008/9/11,Female,Product,Yes,3,6,3.6,0.3
160,2008/4/16,Male,Product,No,3,6,8,0.61
161,2008/10/24,Female,Service,Yes,3,5,6,0.4
162,2008/3/5,Female,Service,Yes,1,3,3.8,0.33
163,2008/4/3,Female,Product,Yes,1,2,2.4,0.06
164,2008/8/8,Male,Service,Yes,1,4,4.3,0.36
165,2008/9/18,Female,Service,Yes,1,2,3.7,0.28
166,2008/9/25,Male,Service,Yes,2,6,,
167,2008/3/1,Male,Product,Yes,2,5,5.6,0.37
168,2008/5/23,Female,Service,Yes,0,1,1,0.03
169,2008/9/7,Female,Product,Yes,2,5,7.2,0.67
170,2008/3/23,Male,Service,Yes,1,3,6.7,0.46
171,2008/1/25,Female,Service,Yes,1,2,,
172,2008/12/29,Female,Service,Yes,3,8,7.5,0.72
173,2008/6/15,Female,Service,No,3,6,,0.69
174,2008/3/27,Female,Service,No,4,7,7.5,0.65
175,2008/2/24,Female,Product,No,0,1,4,0.24
176,2008/11/30,Female,Service,Yes,1,3,5.3,0.41
177,2008/10/3,Female,Product,No,2,5,7.5,0.68
178,2008/1/17,Female,Service,Yes,1,2,,0.42
179,2008/1/30,Male,Product,No,4,7,7.7,0.72
180,2008/3/28,Male,Service,Yes,0,2,4.4,0.33
181,2008/10/21,Female,Service,Yes,2,3,,0.37
182,2008/2/3,Male,Service,Yes,4,6,,0.6
183,2008/10/13,Male,Service,Yes,3,5,6.5,0.48
184,2008/2/8,Male,Product,Yes,2,4,5.5,0.48
185,2008/11/25,Male,Service,No,2,5,5,0.36
186,2008/4/23,Female,Service,Yes,1,1,,0.24
187,2008/11/7,Male,Product,No,4,10,9.2,0.91
188,2008/6/20,Male,Product,Yes,2,5,5,
189,2008/12/23,Female,Product,Yes,1,2,4.1,0.24
190,2008/11/24,Female,Service,No,3,6,5.5,0.45
191,2008/6/21,Male,Service,No,5,9,8.8,0.85
192,2008/5/20,Female,Service,No,2,4,5.5,0.34
193,2008/11/29,Male,Product,Yes,1,3,5.9,0.36
194,2008/8/11,Female,Service,Yes,2,4,4.5,0.34
195,2008/4/29,Male,Product,No,3,6,8,0.59
196,2008/7/22,Female,Service,Yes,2,4,5.8,0.44
197,2008/11/19,Male,Service,No,1,3,4.4,0.38
198,2008/12/19,Female,Product,Yes,2,4,6.1,
199,2008/12/29,Male,Product,No,3,6,7.5,0.59
200,2008/6/20,Female,Service,No,2,7,8,0.7
201,2008/8/31,Male,Product,No,2,3,6.1,0.42
202,2008/5/26,Male,Product,Yes,1,2,5.1,0.46
203,2008/12/25,Female,Service,Yes,3,4,,0.48
204,2008/2/14,Female,Service,Yes,3,5,4.7,0.39
205,2008/3/4,Female,Service,Yes,3,5,5.2,0.42
206,2008/10/6,Male,Product,Yes,0,1,0,0
207,2008/10/21,Female,Service,Yes,2,5,5.1,0.46
208,2008/8/16,Male,Product,Yes,1,2,4.4,0.3
209,2008/10/29,Female,Product,No,4,6,6.9,0.63
210,2008/7/15,Female,Service,No,2,5,5.3,0.45
211,2008/4/21,Male,Service,No,2,3,,0.49
212,2008/9/1,Female,Service,Yes,3,6,6,0.58
213,2008/1/6,Male,Product,No,4,7,8.6,0.67
214,2008/3/20,Male,Service,No,2,5,7.3,0.71
215,2008/4/14,Female,Service,Yes,1,3,5.5,0.48
216,2008/5/21,Male,Service,Yes,1,3,2.9,0.22
217,2008/6/11,Female,Product,No,3,6,5.1,0.43
218,2008/10/3,Male,Service,Yes,4,8,,0.74
219,2008/2/16,Male,Service,No,2,5,6.4,0.57
220,2008/2/5,Female,Service,Yes,2,3,,0.22
221,2008/8/11,Male,Service,Yes,1,,4.8,
222,2008/11/19,Female,Service,No,3,,5.8,0.47
223,2008/10/29,Female,Service,Yes,3,4,6.1,0.47
224,2008/6/11,Female,Service,Yes,3,5,5.3,0.47
225,2008/10/13,Female,Product,Yes,1,4,5.5,0.34
226,2008/10/10,Female,Service,Yes,1,3,5.5,0.37
227,2008/9/26,Female,Service,No,3,7,7.8,0.8
228,2008/6/1,Male,Product,No,4,8,8.9,0.8
229,2008/7/11,Female,Product,No,2,,,0.36
230,2008/7/23,Female,Service,Yes,1,4,6.9,0.49
231,2008/7/10,Female,Service,Yes,1,3,,0.35
232,2008/8/9,Male,Service,Yes,0,1,0,0
233,2008/10/5,Male,Service,Yes,4,9,9.3,0.86
234,2008/3/14,Female,Service,Yes,1,2,4.6,0.33
235,2008/8/4,Female,Service,Yes,2,5,7.3,
236,2008/6/14,Female,Service,Yes,3,6,5.7,0.5
237,2008/10/23,Female,Service,Yes,2,4,4.5,0.34
238,2008/2/22,Male,Product,Yes,0,2,4.7,0.23
239,2008/2/4,Male,Product,No,4,8,9.9,0.92
240,2008/5/19,Female,Service,Yes,3,6,6.3,0.44
241,2008/9/20,Female,Service,Yes,1,3,3.6,0.15
242,2008/3/8,Female,Service,Yes,0,2,4.3,0.32
243,2008/8/1,Female,Service,Yes,3,4,6.5,0.43
244,2008/1/18,Male,Service,No,4,9,8.7,0.78
245,2008/3/4,Male,Service,Yes,0,1,3.1,0.23
246,2008/7/13,Male,Service,Yes,2,4,3.6,0.21
247,2008/8/15,Male,Service,Yes,1,2,3.6,0.23
248,2008/11/4,Female,Product,Yes,3,5,5.7,0.4
249,2008/11/24,Female,Service,Yes,2,5,5.7,0.38
250,2008/4/16,Female,Service,No,0,1,0.5,0
251,2008/12/5,Female,Product,No,2,4,3.9,0.33
252,2008/7/27,Male,Product,Yes,3,,7.3,0.63
253,2008/12/7,Female,Product,No,2,5,7,0.62
254,2008/10/13,Female,Service,No,2,4,,0.39
255,2008/6/15,Male,Service,Yes,3,4,5.4,0.36
256,2008/6/4,Female,Service,Yes,2,3,3.7,0.28
257,2008/12/17,Female,Product,No,3,,7.4,0.56
258,2008/9/9,Female,Service,Yes,2,4,6.1,0.41
259,2008/2/5,Male,Service,Yes,0,1,2.8,0.1
260,2008/11/1,Female,Service,No,2,4,6.9,0.63
261,2008/1/28,Male,Service,Yes,3,7,7.3,0.67
262,2008/4/14,Male,Service,No,3,7,7.2,0.62
263,2008/4/4,Male,Service,Yes,2,7,9,0.77
264,2008/7/6,Female,Service,No,0,1,0,0
265,2008/12/19,Male,Product,Yes,2,6,5.6,0.51
266,2008/12/28,Female,Service,Yes,2,4,6.8,0.61
267,2008/2/11,Female,Service,Yes,1,3,5.1,0.41
268,2008/7/8,Female,Service,Yes,3,5,6,0.53
269,2008/12/16,Female,Service,Yes,1,3,6.8,0.5
270,2008/11/17,Male,Product,Yes,2,5,6.5,0.55
271,2008/7/13,Male,Service,Yes,4,6,5.7,0.49
272,2008/1/21,Male,Service,Yes,2,,6.9,0.57
273,2008/10/19,Male,Product,Yes,3,5,6.1,0.44
274,2008/1/7,Male,Service,Yes,3,7,8.8,0.7
275,2008/10/21,Female,Service,Yes,1,2,6.8,0.48
276,2008/12/24,Male,Product,No,0,,3.8,0.23
277,2008/6/9,Male,Service,No,4,7,,0.79
278,2008/1/19,Male,Service,No,2,5,6.8,0.6
279,2008/9/13,Male,Product,Yes,2,4,5.5,0.48
280,2008/10/28,Female,Service,Yes,2,3,4.5,0.21
281,2008/7/22,Female,Product,No,2,2,2.6,0.15
282,2008/10/14,Male,Service,No,5,10,10,0.98
283,2008/11/8,Female,Service,Yes,1,2,4.3,0.25
284,2008/2/16,Male,Product,No,3,8,8.8,0.7
285,2008/7/11,Female,Service,No,4,7,7.2,0.69
286,2008/9/2,Male,Service,Yes,1,3,4.4,0.33
287,2008/12/4,Female,Service,No,2,4,5.5,0.44
288,2008/12/26,Female,Product,No,2,5,7.8,0.57
289,2008/5/8,Male,Product,Yes,1,3,4.5,0.27
290,2008/8/12,Male,Service,No,4,6,6.7,0.67
291,2008/1/26,Female,Service,No,1,1,3.4,0.25
292,2008/8/24,Female,Service,No,0,1,3.6,0.18
293,2008/2/3,Female,Product,No,3,7,7.9,0.6
294,2008/9/30,Female,Service,Yes,2,5,5.3,0.39
295,2008/9/21,Female,Service,Yes,1,3,5.3,0.34
296,2008/11/10,Female,Product,No,3,6,5.5,0.52
297,2008/4/28,Female,Product,No,1,3,5.4,0.42
298,2008/12/25,Male,Product,Yes,1,1,4.8,0.28
299,2008/1/9,Female,Product,Yes,2,4,6.2,0.38
300,2008/5/18,Male,Product,No,4,6,6.9,0.59
301,2008/1/23,Female,Product,Yes,2,5,8,0.62
302,2008/9/14,Male,Product,No,3,7,8.7,0.76
303,2008/8/9,Female,Service,No,1,3,4.2,0.33
304,2008/12/8,Male,Service,No,2,2,4.2,0.28
305,2008/1/25,Female,Service,No,3,6,7.2,0.62
306,2008/10/8,Female,Service,Yes,2,4,5.2,0.45
307,2008/9/14,Male,Service,Yes,2,2,3.3,0.24
308,2008/8/8,Male,Product,No,0,1,1.6,
309,2008/9/27,Male,Service,No,2,5,6.3,0.53
310,2008/5/3,Male,Service,Yes,2,4,6.8,0.59
311,2008/7/24,Female,Product,Yes,0,1,2,
312,2008/5/21,Male,Product,Yes,3,6,,0.65
313,2008/2/4,Male,Product,Yes,3,5,3.8,0.29
314,2008/5/12,Female,Product,Yes,1,2,2.7,0.19
315,2008/2/21,Female,Service,No,4,7,8.1,0.65
316,2008/12/9,Female,Product,Yes,1,1,1.3,0.02
317,2008/10/16,Female,Service,Yes,2,4,7,0.47
318,2008/5/16,Male,Service,No,4,7,,0.82
319,2008/10/26,Female,Service,No,2,5,6.6,0.43
320,2008/9/22,Female,Service,No,2,5,7.9,0.61
321,2008/8/6,Female,Product,No,0,2,4.7,0.33
322,2008/5/3,Female,Service,No,2,4,7.9,0.6
323,2008/3/3,Female,Product,No,2,6,6.4,0.52
324,2008/4/30,Male,Service,Yes,5,9,9.3,0.93
325,2008/12/20,Male,Product,No,2,4,6.3,0.47
326,2008/9/1,Male,Service,No,2,,6.4,0.53
327,2008/3/2,Male,Service,No,3,7,6.9,0.51
328,2008/2/8,Female,Service,Yes,1,1,4.9,0.26
329,2008/4/13,Female,Product,Yes,3,4,5.2,0.42
330,2008/11/20,Female,Service,No,2,5,6.2,0.58
331,2008/11/19,Female,Service,Yes,1,2,5.3,0.3
332,2008/8/12,Male,Product,Yes,3,6,6.2,0.56
333,2008/4/12,Male,Product,No,2,5,6.1,0.57
334,2008/11/18,Female,Service,Yes,2,3,5.5,0.3
335,2008/4/21,Male,Service,No,4,8,9.5,0.86
336,2008/8/11,Male,Product,No,2,6,6.3,0.62
337,2008/2/25,Male,Service,Yes,3,5,5.2,0.41
338,2008/6/22,Male,Service,Yes,1,4,5.1,0.38
339,2008/2/15,Female,Service,Yes,2,5,5.9,0.41
340,2008/7/22,Female,Service,No,2,5,5.8,0.46
341,2008/5/23,Female,Service,No,2,4,5.9,0.44
342,2008/8/15,Female,Product,No,1,1,3.2,0.24
343,2008/2/24,Female,Service,Yes,2,4,6.1,0.39
344,2008/1/28,Female,Service,Yes,3,5,5.7,
345,2008/2/14,Female,Service,No,2,4,7.5,0.53
346,2008/11/18,Female,Service,No,2,,6,0.53
347,2008/2/24,Female,Service,No,2,2,3.9,0.21
348,2008/10/13,Male,Service,No,4,8,8.4,0.77
349,2008/12/22,Female,Product,Yes,1,2,6,0.37
350,2008/10/3,Male,Service,No,3,8,,0.93
351,2008/9/8,Female,Service,Yes,4,7,,0.67
352,2008/3/14,Male,Service,Yes,1,3,4.9,0.38
353,2008/6/7,Male,Product,Yes,3,4,6.3,0.47
354,2008/8/31,Male,Service,No,4,8,8,0.69
355,2008/11/16,Male,Service,No,2,7,7.1,0.72
356,2008/6/26,Male,Service,No,4,8,7.3,0.73
357,2008/5/11,Female,Product,No,4,8,8.2,0.72
358,2008/9/3,Female,Product,No,2,6,7.1,0.58
359,2008/3/6,Female,Service,Yes,2,5,4.5,0.38
360,2008/3/23,Female,Service,Yes,1,4,5,0.36
361,2008/11/3,Male,Service,No,2,5,4.2,0.32
362,2008/2/27,Male,Product,Yes,1,3,4.8,0.35
363,2008/9/24,Female,Service,Yes,4,8,9.4,0.83
364,2008/9/30,Male,Service,Yes,4,7,7.9,0.73
365,2008/2/23,Male,Product,Yes,0,2,2.1,0.15
366,2008/10/26,Male,Service,Yes,2,5,4.2,0.3
367,2008/4/1,Male,Service,No,1,3,6.6,0.47
368,2008/6/17,Female,Product,No,4,6,7.1,0.68
369,2008/8/10,Male,Product,No,5,10,9.7,0.87
370,2008/5/25,Female,Product,Yes,1,2,5.5,0.4
371,2008/5/22,Female,Service,No,1,3,5.2,0.43
372,2008/1/13,Male,Product,No,4,7,8.4,0.64
373,2008/8/6,Male,Product,No,2,3,3.4,0.26
374,2008/2/19,Male,Service,No,2,4,7.2,0.59
375,2008/9/13,Male,Service,No,2,6,7,0.52
376,2008/9/26,Female,Service,No,2,5,7.3,0.56
377,2008/6/6,Male,Service,No,3,6,6.5,0.56
378,2008/11/18,Female,Service,Yes,0,1,,0.25
379,2008/12/16,Male,Service,No,1,4,5.8,0.53
380,2008/1/16,Male,Service,No,2,4,6.2,0.4
381,2008/4/11,Female,Service,No,2,4,4.2,0.31
382,2008/3/22,Male,Product,No,3,,8.9,0.83
383,2008/2/24,Male,Service,No,1,5,6.6,0.54
384,2008/4/20,Female,Service,Yes,2,,5.5,0.36
385,2008/2/2,Male,Product,No,2,6,7.5,0.55
386,2008/7/6,Male,Service,Yes,1,2,3.8,0.22
387,2008/10/1,Male,Service,Yes,4,,6.9,0.69
388,2008/1/20,Female,Product,Yes,3,5,5,0.4
389,2008/9/2,Male,Service,Yes,3,6,7.9,0.64
390,2008/11/24,Male,Service,Yes,3,5,6.5,0.48
391,2008/10/7,Female,Service,Yes,1,3,5.2,0.39
392,2008/7/5,Female,Service,Yes,3,5,5.6,0.4
393,2008/4/4,Female,Product,Yes,2,4,6.2,0.49
394,2008/7/10,Male,Service,Yes,2,4,,0.16
395,2008/6/14,Female,Service,No,2,2,3.9,0.29
396,2008/6/3,Male,Service,Yes,2,5,6.1,0.41
397,2008/11/12,Male,Service,Yes,2,5,5.5,0.37
398,2008/8/26,Male,Product,No,3,6,8.6,0.68
399,2008/4/29,Female,Service,Yes,2,5,7.1,0.58
400,2008/5/17,Female,Service,No,2,6,6.9,0.55
401,2008/10/23,Male,Service,No,2,6,7.7,
402,2008/8/6,Female,Product,Yes,2,3,6.9,0.5
403,2008/5/3,Male,Product,No,2,,6.3,0.57
404,2008/12/30,Male,Product,Yes,2,3,6.3,0.44
405,2008/6/19,Male,Service,Yes,2,3,5.7,0.37
406,2008/3/2,Female,Service,No,2,6,,0.61
407,2008/11/22,Female,Service,No,1,1,2.5,
408,2008/1/30,Male,Service,No,3,7,6.3,0.62
409,2008/5/13,Male,Product,No,2,4,6.7,0.57
410,2008/2/19,Female,Service,Yes,1,,1.9,0.03
411,2008/1/9,Male,Product,Yes,2,3,4.6,
412,2008/10/4,Male,Service,Yes,3,5,4.9,0.37
413,2008/2/11,Male,Service,Yes,1,4,5.4,0.35
414,2008/12/22,Male,Service,No,4,6,7,0.55
415,2008/3/30,Female,Service,Yes,2,,,0.18
416,2008/6/16,Female,Service,Yes,2,4,6.5,0.61
417,2008/3/12,Male,Product,Yes,2,3,4,0.2
418,2008/4/27,Female,Product,Yes,0,1,4,0.2
419,2008/9/11,Female,Product,No,3,7,,0.64
420,2008/10/5,Female,Service,No,2,6,7.2,
421,2008/3/14,Female,Service,No,1,2,,0.43
422,2008/9/21,Female,Service,Yes,1,3,3.7,0.17
423,2008/7/1,Female,Service,Yes,2,2,,
424,2008/12/15,Male,Service,No,2,4,5.2,0.47
425,2008/9/10,Male,Service,No,0,1,2.8,0.12
426,2008/9/6,Female,Service,No,5,10,,1
427,2008/4/19,Female,Product,No,3,6,8.2,0.65
428,2008/10/11,Female,Service,Yes,3,4,5.5,0.42
429,2008/7/15,Female,Service,No,1,1,3.6,0.28
430,2008/7/8,Male,Product,Yes,2,5,6.9,0.67
431,2008/6/20,Female,Product,No,5,9,9.4,0.88
432,2008/1/12,Male,Service,Yes,1,3,3.6,0.29
433,2008/11/24,Male,Service,No,2,5,6.8,0.6
434,2008/5/22,Male,Service,Yes,0,1,3.8,0.17
435,2008/2/14,Female,Product,Yes,1,2,1.6,0.08
436,2008/12/2,Male,Service,No,2,4,5.4,0.48
437,2008/12/24,Female,Service,No,2,4,7.3,0.51
438,2008/3/10,Female,Service,Yes,0,2,4,0.3
439,2008/2/8,Female,Service,No,2,4,7,0.54
440,2008/1/24,Female,Service,No,4,8,7.8,0.74
441,2008/7/2,Female,Product,No,1,2,2.5,
442,2008/8/29,Male,Service,Yes,1,3,3.4,0.29
443,2008/7/29,Male,Product,No,3,6,7.4,0.52
444,2008/6/29,Female,Product,No,3,6,6.6,0.46
445,2008/3/21,Female,Service,No,1,3,4.7,0.37
446,2008/4/13,Male,Service,Yes,1,4,4.7,0.36
447,2008/1/11,Male,Product,No,2,5,4.9,0.39
448,2008/11/19,Male,Service,No,2,6,8.7,0.7
449,2008/11/9,Female,Product,No,2,4,5.6,0.38
450,2008/8/20,Male,Service,Yes,5,9,9.4,0.88
451,2008/7/30,Male,Service,Yes,1,2,3.6,0.22
452,2008/9/9,Female,Service,No,3,6,7.2,0.63
453,2008/8/6,Male,Service,No,4,8,,0.68
454,2008/8/23,Male,Product,No,2,5,7.2,0.66
455,2008/10/8,Female,Service,Yes,2,5,6.5,0.49
456,2008/11/19,Male,Product,No,3,7,,0.77
457,2008/12/2,Male,Service,No,1,2,5.2,0.44
458,2008/6/15,Female,Service,No,2,4,,0.6
459,2008/3/12,Male,Service,Yes,0,1,,0.2
460,2008/2/2,Female,Service,Yes,2,4,5.5,0.45
461,2008/9/3,Female,Product,Yes,0,1,4.1,0.2
462,2008/6/5,Male,Service,No,5,10,9.2,0.75
463,2008/9/23,Female,Product,Yes,1,1,2.6,0.09
464,2008/2/3,Female,Service,No,1,2,5.5,0.39
465,2008/4/30,Male,Service,Yes,2,4,2.5,0.14
466,2008/9/5,Female,Service,Yes,3,7,5.8,0.55
467,2008/1/30,Female,Service,Yes,1,1,3.2,0.2
468,2008/6/18,Male,Product,No,3,7,8.3,0.66
469,2008/8/15,Male,Service,No,1,3,4.6,0.38
470,2008/11/24,Female,Product,No,0,,4.1,0.26
471,2008/1/13,Female,Service,No,2,4,6.8,0.46
472,2008/1/14,Male,Service,Yes,1,3,4.9,0.43
